timestamp, lat, lon, height
2024-09-10T122149,   69.212358,    15.85857,    8.0
2024-09-10T122150,   69.212365,   15.858571,   10.2
2024-09-10T122151,   69.212375,   15.858584,   11.8
2024-09-10T122152,   69.212369,   15.858604,   11.9
2024-09-10T122154,   69.212368,   15.858616,   11.9
2024-09-10T122155,    69.21237,   15.858615,   11.9
2024-09-10T122156,   69.212367,   15.858615,   11.9
2024-09-10T122157,   69.212366,   15.858612,   11.8
2024-09-10T122158,   69.212362,   15.858615,   11.6
2024-09-10T122159,   69.212358,   15.858616,   11.4
2024-09-10T122200,   69.212355,   15.858619,   11.1
2024-09-10T122201,   69.212354,   15.858621,   10.9
2024-09-10T122202,   69.212352,   15.858614,   10.6
2024-09-10T122203,   69.212349,   15.858613,   10.2
2024-09-10T122204,   69.212347,   15.858614,   10.0
2024-09-10T122205,   69.212345,   15.858614,    9.8
2024-09-10T122206,   69.212344,   15.858613,    9.6
2024-09-10T122207,   69.212347,   15.858623,    9.6
2024-09-10T122208,   69.212348,   15.858625,    9.5
2024-09-10T122209,   69.212347,   15.858627,    9.5
2024-09-10T122210,   69.212347,   15.858628,    9.5
2024-09-10T122211,   69.212347,   15.858628,    9.5
2024-09-10T122212,   69.212346,   15.858628,    9.5
2024-09-10T122213,   69.212346,   15.858629,    9.5
2024-09-10T122214,   69.212346,   15.858629,    9.5
2024-09-10T122215,   69.212346,    15.85863,    9.5
2024-09-10T122216,   69.212346,    15.85863,    9.5
2024-09-10T122217,   69.212346,   15.858629,    9.5
2024-09-10T122218,   69.212346,    15.85863,    9.5
2024-09-10T122219,   69.212346,    15.85863,    9.5
2024-09-10T122220,   69.212346,   15.858629,    9.5
2024-09-10T122221,   69.212347,   15.858628,    9.5
2024-09-10T122222,   69.212347,   15.858627,    9.5
2024-09-10T122223,   69.212347,   15.858627,    9.5
2024-09-10T122224,   69.212347,   15.858627,    9.6
2024-09-10T122225,   69.212346,   15.858627,    9.6
2024-09-10T122226,   69.212346,   15.858628,    9.6
2024-09-10T122227,   69.212346,   15.858626,    9.6
2024-09-10T122228,   69.212346,   15.858626,    9.5
2024-09-10T122229,   69.212346,   15.858626,    9.4
2024-09-10T122230,   69.212346,   15.858625,    9.6
2024-09-10T122231,   69.212346,   15.858621,    9.7
2024-09-10T122232,   69.212346,   15.858619,    9.7
2024-09-10T122233,   69.212346,   15.858619,    9.6
2024-09-10T122234,   69.212348,   15.858615,    9.5
2024-09-10T122235,   69.212348,   15.858617,    9.4
2024-09-10T122236,   69.212349,   15.858618,    9.4
2024-09-10T122237,    69.21235,   15.858615,    9.5
2024-09-10T122238,   69.212351,   15.858615,    9.4
2024-09-10T122239,   69.212351,   15.858616,    9.4
2024-09-10T122240,   69.212352,   15.858612,    9.2
2024-09-10T122241,   69.212351,   15.858613,    9.3
2024-09-10T122242,   69.212351,    15.85861,    9.5
2024-09-10T122243,   69.212351,   15.858612,    9.5
2024-09-10T122244,   69.212351,   15.858611,    9.3
2024-09-10T122245,   69.212351,    15.85861,    9.2
2024-09-10T122246,   69.212352,   15.858608,    9.4
2024-09-10T122247,   69.212353,   15.858605,    9.6
2024-09-10T122248,   69.212354,   15.858604,    9.3
2024-09-10T122249,   69.212353,   15.858606,    9.3
2024-09-10T122250,   69.212352,   15.858605,    9.2
2024-09-10T122251,   69.212352,   15.858604,    9.3
2024-09-10T122252,   69.212352,   15.858604,    9.4
2024-09-10T122253,   69.212353,   15.858603,    9.4
2024-09-10T122254,   69.212355,   15.858601,    9.4
2024-09-10T122255,   69.212355,   15.858603,    9.5
2024-09-10T122256,   69.212354,   15.858608,    9.6
2024-09-10T122257,   69.212355,    15.85861,    9.8
2024-09-10T122258,   69.212355,   15.858607,    9.8
2024-09-10T122259,   69.212355,    15.85861,    9.7
2024-09-10T122300,   69.212356,   15.858608,    9.9
2024-09-10T122301,   69.212356,   15.858609,   10.0
2024-09-10T122302,   69.212357,   15.858608,   10.2
2024-09-10T122303,   69.212357,   15.858612,   10.1
2024-09-10T122304,   69.212358,   15.858625,   10.1
2024-09-10T122305,   69.212358,   15.858642,   10.0
2024-09-10T122306,   69.212359,   15.858648,   10.1
2024-09-10T122307,   69.212358,   15.858651,   10.0
2024-09-10T122308,   69.212358,   15.858653,   10.0
2024-09-10T122309,   69.212357,   15.858658,    9.9
2024-09-10T122310,   69.212356,   15.858666,    9.7
2024-09-10T122311,   69.212355,   15.858671,    9.6
2024-09-10T122312,   69.212354,   15.858672,    9.4
2024-09-10T122313,   69.212354,   15.858673,    9.3
2024-09-10T122314,   69.212353,   15.858669,    9.2
2024-09-10T122315,   69.212351,   15.858653,    9.2
2024-09-10T122316,    69.21235,   15.858637,    9.1
2024-09-10T122317,   69.212347,    15.85862,    9.1
2024-09-10T122318,   69.212344,   15.858601,    9.0
2024-09-10T122319,   69.212341,   15.858568,    9.0
2024-09-10T122320,   69.212338,   15.858539,    8.8
2024-09-10T122321,   69.212336,   15.858509,    8.7
2024-09-10T122322,   69.212337,   15.858469,    8.7
2024-09-10T122323,   69.212343,   15.858419,    8.6
2024-09-10T122324,   69.212355,   15.858371,    8.6
2024-09-10T122325,   69.212369,   15.858315,    8.5
2024-09-10T122326,   69.212391,   15.858258,    8.3
2024-09-10T122327,   69.212426,   15.858206,    8.1
2024-09-10T122328,   69.212474,    15.85815,    7.5
2024-09-10T122329,   69.212526,   15.858098,    7.7
2024-09-10T122330,   69.212596,   15.858063,    7.9
2024-09-10T122331,   69.212674,   15.858028,    7.8
2024-09-10T122332,   69.212762,   15.857994,    7.8
2024-09-10T122333,   69.212865,   15.857952,    7.5
2024-09-10T122334,   69.212984,   15.857892,    8.6
2024-09-10T122335,   69.213098,   15.857828,    8.9
2024-09-10T122336,   69.213219,   15.857758,    9.2
2024-09-10T122337,   69.213341,   15.857695,    9.3
2024-09-10T122338,   69.213464,   15.857629,    9.4
2024-09-10T122339,   69.213587,   15.857564,    9.5
2024-09-10T122340,   69.213709,   15.857501,    9.8
2024-09-10T122341,   69.213829,    15.85744,    9.9
2024-09-10T122342,   69.213948,   15.857374,   10.1
2024-09-10T122343,   69.214067,   15.857307,   10.3
2024-09-10T122344,   69.214186,   15.857241,   10.5
2024-09-10T122345,   69.214304,   15.857172,   10.6
2024-09-10T122346,   69.214424,   15.857106,   10.7
2024-09-10T122347,   69.214541,   15.857042,   10.8
2024-09-10T122348,   69.214655,   15.856981,   10.9
2024-09-10T122349,   69.214766,   15.856922,   10.9
2024-09-10T122350,   69.214872,   15.856867,   10.8
2024-09-10T122351,   69.214977,   15.856815,   10.8
2024-09-10T122352,   69.215081,   15.856763,   10.7
2024-09-10T122353,   69.215182,   15.856708,   10.6
2024-09-10T122354,   69.215281,    15.85665,   10.4
2024-09-10T122355,   69.215379,   15.856591,   10.3
2024-09-10T122356,   69.215474,   15.856531,   10.2
2024-09-10T122357,   69.215567,    15.85647,   10.1
2024-09-10T122358,    69.21566,   15.856414,   10.2
2024-09-10T122359,   69.215754,   15.856363,   10.3
2024-09-10T122400,    69.21585,   15.856319,   10.4
2024-09-10T122401,   69.215948,   15.856272,   10.3
2024-09-10T122402,   69.216045,   15.856225,   10.3
2024-09-10T122403,   69.216144,   15.856178,   10.4
2024-09-10T122404,   69.216242,   15.856129,   10.6
2024-09-10T122405,    69.21634,   15.856079,   10.8
2024-09-10T122406,   69.216438,   15.856034,   10.6
2024-09-10T122407,    69.21654,      15.856,   10.3
2024-09-10T122408,   69.216648,   15.855991,    9.9
2024-09-10T122409,   69.216762,   15.856018,    9.4
2024-09-10T122410,   69.216877,    15.85608,    9.1
2024-09-10T122411,   69.216994,   15.856177,    9.1
2024-09-10T122412,   69.217105,   15.856295,    9.3
2024-09-10T122413,    69.21721,   15.856418,    9.4
2024-09-10T122414,   69.217304,   15.856538,    9.5
2024-09-10T122415,   69.217386,   15.856645,    9.6
2024-09-10T122416,   69.217455,   15.856736,    9.7
2024-09-10T122417,   69.217512,   15.856816,    9.7
2024-09-10T122418,   69.217562,   15.856886,    9.8
2024-09-10T122419,   69.217608,   15.856949,    9.8
2024-09-10T122420,   69.217651,   15.857007,    9.9
2024-09-10T122421,   69.217696,    15.85706,   10.0
2024-09-10T122422,   69.217746,    15.85712,   10.1
2024-09-10T122423,     69.2178,   15.857189,   10.1
2024-09-10T122424,   69.217857,   15.857265,   10.2
2024-09-10T122425,   69.217911,   15.857342,   10.3
2024-09-10T122426,   69.217964,   15.857418,   10.4
2024-09-10T122427,   69.218015,   15.857493,   10.5
2024-09-10T122428,   69.218066,   15.857567,   10.6
2024-09-10T122429,   69.218119,   15.857645,   10.7
2024-09-10T122430,   69.218172,   15.857725,   10.7
2024-09-10T122431,   69.218224,   15.857802,   10.7
2024-09-10T122432,   69.218274,    15.85788,   10.8
2024-09-10T122433,   69.218325,   15.857961,   10.9
2024-09-10T122434,   69.218376,   15.858045,   11.0
2024-09-10T122435,   69.218428,   15.858131,   10.9
2024-09-10T122436,    69.21848,   15.858214,   10.9
2024-09-10T122437,    69.21853,   15.858295,   10.9
2024-09-10T122438,   69.218579,   15.858377,   10.9
2024-09-10T122439,   69.218629,   15.858461,   11.0
2024-09-10T122440,    69.21868,   15.858541,   11.0
2024-09-10T122441,   69.218733,   15.858622,   11.0
2024-09-10T122442,   69.218786,   15.858704,   10.9
2024-09-10T122443,   69.218836,   15.858784,   10.8
2024-09-10T122444,   69.218884,    15.85886,   10.8
2024-09-10T122445,    69.21893,   15.858933,   10.8
2024-09-10T122446,   69.218973,   15.859002,   10.9
2024-09-10T122447,   69.219014,   15.859066,   11.0
2024-09-10T122448,   69.219051,   15.859121,   11.0
2024-09-10T122449,   69.219087,   15.859155,   11.0
2024-09-10T122450,   69.219119,   15.859145,   10.9
2024-09-10T122451,   69.219137,   15.859084,   10.9
2024-09-10T122452,   69.219138,   15.859011,   11.1
2024-09-10T122453,   69.219126,    15.85895,   11.5
2024-09-10T122454,   69.219109,   15.858914,   11.6
2024-09-10T122455,   69.219086,   15.858897,   11.5
2024-09-10T122456,   69.219055,   15.858886,   11.2
2024-09-10T122457,   69.219014,   15.858872,   10.6
2024-09-10T122458,   69.218958,   15.858849,   10.2
2024-09-10T122459,    69.21889,   15.858797,   10.0
2024-09-10T122500,   69.218816,   15.858703,    9.8
2024-09-10T122501,   69.218733,   15.858573,    9.8
2024-09-10T122502,   69.218641,   15.858422,    9.9
2024-09-10T122503,   69.218537,   15.858253,    9.8
2024-09-10T122504,    69.21842,   15.858066,    9.6
2024-09-10T122505,   69.218294,   15.857864,    9.4
2024-09-10T122506,   69.218161,   15.857658,    9.3
2024-09-10T122507,   69.218024,   15.857455,    9.3
2024-09-10T122508,   69.217885,   15.857269,    9.1
2024-09-10T122509,   69.217748,   15.857089,    8.8
2024-09-10T122510,   69.217612,   15.856913,    8.8
2024-09-10T122511,    69.21748,   15.856753,    8.8
2024-09-10T122512,   69.217359,   15.856605,    8.8
2024-09-10T122513,   69.217251,   15.856475,    8.8
2024-09-10T122514,   69.217154,   15.856363,    8.7
2024-09-10T122515,   69.217062,   15.856263,    8.5
2024-09-10T122516,   69.216971,   15.856171,    8.3
2024-09-10T122517,   69.216879,   15.856093,    8.3
2024-09-10T122518,   69.216784,   15.856029,    8.3
2024-09-10T122519,   69.216686,   15.855983,    8.5
2024-09-10T122520,   69.216585,   15.855959,    8.8
2024-09-10T122521,   69.216484,   15.855959,    9.2
2024-09-10T122522,   69.216384,   15.855989,    9.6
2024-09-10T122523,   69.216287,   15.856039,    9.7
2024-09-10T122524,   69.216194,   15.856097,    9.6
2024-09-10T122525,   69.216103,   15.856154,    9.4
2024-09-10T122526,   69.216012,   15.856208,    9.3
2024-09-10T122527,   69.215921,   15.856258,    9.4
2024-09-10T122528,    69.21583,   15.856308,    9.5
2024-09-10T122529,   69.215739,   15.856359,    9.5
2024-09-10T122530,   69.215649,   15.856404,    9.6
2024-09-10T122531,   69.215557,   15.856457,    9.7
2024-09-10T122532,   69.215464,   15.856512,    9.9
2024-09-10T122533,    69.21537,   15.856567,   10.0
2024-09-10T122534,   69.215277,   15.856622,   10.1
2024-09-10T122535,   69.215181,   15.856678,   10.2
2024-09-10T122536,   69.215085,   15.856728,   10.2
2024-09-10T122537,   69.214988,    15.85678,   10.4
2024-09-10T122538,   69.214889,   15.856832,   10.5
2024-09-10T122539,   69.214788,   15.856888,   10.6
2024-09-10T122540,   69.214687,   15.856942,   10.4
2024-09-10T122541,   69.214586,   15.856998,   10.4
2024-09-10T122542,   69.214483,   15.857055,   10.5
2024-09-10T122543,   69.214379,   15.857113,   10.5
2024-09-10T122544,   69.214273,   15.857172,   10.5
2024-09-10T122545,   69.214166,   15.857231,   10.6
2024-09-10T122546,   69.214057,   15.857289,   10.7
2024-09-10T122547,   69.213948,   15.857349,   10.8
2024-09-10T122548,   69.213838,   15.857408,   10.9
2024-09-10T122549,   69.213729,   15.857466,   10.9
2024-09-10T122550,   69.213622,   15.857522,   10.7
2024-09-10T122551,   69.213517,   15.857576,   10.5
2024-09-10T122552,   69.213414,   15.857625,   10.3
2024-09-10T122553,   69.213317,   15.857673,   10.2
2024-09-10T122554,   69.213225,   15.857725,   10.2
2024-09-10T122555,   69.213137,   15.857779,   10.3
2024-09-10T122556,   69.213051,   15.857827,   10.3
2024-09-10T122557,   69.212968,   15.857874,   10.2
2024-09-10T122558,   69.212888,   15.857916,   10.1
2024-09-10T122559,   69.212817,   15.857955,   10.1
2024-09-10T122600,   69.212757,   15.857988,   10.2
2024-09-10T122601,   69.212707,   15.858016,   10.3
2024-09-10T122602,   69.212663,   15.858043,   10.4
2024-09-10T122603,   69.212627,   15.858066,   10.6
2024-09-10T122604,   69.212601,   15.858084,   10.7
2024-09-10T122605,   69.212584,   15.858098,   10.7
2024-09-10T122606,   69.212573,   15.858104,   10.7
2024-09-10T122607,   69.212566,   15.858108,   10.5
2024-09-10T122608,   69.212563,   15.858109,   10.4
2024-09-10T122609,   69.212562,    15.85811,   10.4
2024-09-10T122610,   69.212561,    15.85811,   10.5
2024-09-10T122611,   69.212558,   15.858112,   10.4
2024-09-10T122612,   69.212555,   15.858114,   10.2
2024-09-10T122613,   69.212549,   15.858117,   10.2
2024-09-10T122614,   69.212538,   15.858122,   10.2
2024-09-10T122615,   69.212523,   15.858128,   10.4
2024-09-10T122616,   69.212505,   15.858134,   10.5
2024-09-10T122617,   69.212488,    15.85814,   10.4
2024-09-10T122618,   69.212474,   15.858146,   10.3
2024-09-10T122619,   69.212466,    15.85815,   10.3
2024-09-10T122620,   69.212464,   15.858151,   10.2
2024-09-10T122621,   69.212464,   15.858151,   10.2
2024-09-10T122622,   69.212465,   15.858151,   10.0
2024-09-10T122623,   69.212465,   15.858151,    9.7
2024-09-10T122624,   69.212463,   15.858151,    9.3
2024-09-10T122625,   69.212463,   15.858151,    9.3
2024-09-10T122626,   69.212463,   15.858151,    9.2
2024-09-10T122627,   69.212463,   15.858152,    9.1
2024-09-10T122628,   69.212463,   15.858152,    9.1
2024-09-10T122629,   69.212463,   15.858152,    9.0
2024-09-10T122630,   69.212463,   15.858152,    8.9
2024-09-10T122631,   69.212463,   15.858152,    8.8
2024-09-10T122632,   69.212463,   15.858152,    8.7
2024-09-10T122633,   69.212463,   15.858152,    8.6
2024-09-10T122634,   69.212463,   15.858152,    8.5
2024-09-10T122635,   69.212466,    15.85815,    8.7
2024-09-10T122636,   69.212466,    15.85815,    8.4
2024-09-10T122637,   69.212466,    15.85815,    8.3
2024-09-10T122638,   69.212466,    15.85815,    8.3
2024-09-10T122639,   69.212466,    15.85815,    8.2
2024-09-10T122640,   69.212466,    15.85815,    8.1
2024-09-10T122641,   69.212466,    15.85815,    8.1
2024-09-10T122642,   69.212466,    15.85815,    8.0
2024-09-10T122643,   69.212466,    15.85815,    7.9
2024-09-10T122644,   69.212466,    15.85815,    7.9
2024-09-10T122645,   69.212466,    15.85815,    7.8
2024-09-10T122646,   69.212466,    15.85815,    7.8
2024-09-10T122647,   69.212466,    15.85815,    7.7
2024-09-10T122648,   69.212466,    15.85815,    7.6
2024-09-10T122649,   69.212466,    15.85815,    7.5
2024-09-10T122650,   69.212466,    15.85815,    7.5
2024-09-10T122651,   69.212466,    15.85815,    7.4
2024-09-10T122652,   69.212466,    15.85815,    7.3
2024-09-10T122653,   69.212465,    15.85815,    8.4
2024-09-10T122654,   69.212463,   15.858152,    8.5
2024-09-10T122655,   69.212455,   15.858156,    8.5
2024-09-10T122656,   69.212442,   15.858162,    8.6
2024-09-10T122657,   69.212423,   15.858169,    8.5
2024-09-10T122658,   69.212401,   15.858179,    8.6
2024-09-10T122659,   69.212381,   15.858189,    8.7
