X,Y
4.7,1
4.5,1
4.9,1
4.0,1
4.6,1
4.5,1
4.7,1
3.3,1
4.6,1
3.9,1
3.5,1
4.2,1
4.0,1
4.7,1
3.6,1
4.4,1
4.5,1
4.1,1
4.5,1
3.9,1
4.8,1
4.0,1
4.9,1
4.7,1
4.3,1
4.4,1
4.8,1
5.0,1
4.5,1
3.5,1
3.8,1
3.7,1
3.9,1
5.1,1
4.5,1
4.5,1
4.7,1
4.4,1
4.1,1
4.0,1
4.4,1
4.6,1
4.0,1
3.3,1
4.2,1
4.2,1
4.2,1
4.3,1
3.0,1
4.1,1
6.0,0
5.1,0
5.9,0
5.6,0
5.8,0
6.6,0
4.5,0
6.3,0
5.8,0
6.1,0
5.1,0
5.3,0
5.5,0
5.0,0
5.1,0
5.3,0
5.5,0
6.7,0
6.9,0
5.0,0
5.7,0
4.9,0
6.7,0
4.9,0
5.7,0
6.0,0
4.8,0
4.9,0
5.6,0
5.8,0
6.1,0
6.4,0
5.6,0
5.1,0
5.6,0
6.1,0
5.6,0
5.5,0
4.8,0
5.4,0
5.6,0
5.1,0
5.1,0
5.9,0
5.7,0
5.2,0
5.0,0
5.2,0
5.4,0
5.1,0
