,0,1,2,3,4,5,6,7,8,9,10,11,12,label
0,0.1619,0.1301,0.1148,0.1076,0.1381,0.1908,0.2081,0.2239,0.2504,0.0701,0.0036,0.2143,0.125,b'DarkSoil'
1,0.1619,0.1386,0.1169,0.1159,0.1249,0.1503,0.17300000000000001,0.1615,0.1833,0.0666,0.0036,0.1735,0.1227,b'DarkSoil'
2,0.1619,0.1397,0.1183,0.111,0.1249,0.1503,0.17300000000000001,0.1781,0.1833,0.0666,0.0036,0.1735,0.1227,b'DarkSoil'
3,0.1619,0.1372,0.1201,0.1092,0.1287,0.1664,0.1982,0.2102,0.2085,0.0701,0.0036,0.1826,0.1259,b'DarkSoil'
4,0.1619,0.1363,0.1179,0.1067,0.1287,0.1664,0.1982,0.2355,0.2085,0.0701,0.0036,0.1826,0.1259,b'DarkSoil'
5,0.1619,0.1332,0.1161,0.1041,0.13,0.1855,0.2186,0.2313,0.2299,0.0701,0.0036,0.1939,0.1306,b'DarkSoil'
6,0.1619,0.1391,0.1143,0.114,0.1282,0.1504,0.1686,0.1467,0.1916,0.0666,0.0036,0.1849,0.128,b'DarkSoil'
7,0.1619,0.1391,0.1144,0.1165,0.1282,0.1504,0.1686,0.1411,0.1916,0.0666,0.0036,0.1849,0.128,b'DarkSoil'
8,0.1619,0.142,0.1183,0.1197,0.1249,0.1503,0.17300000000000001,0.1411,0.1833,0.0666,0.0036,0.1735,0.1227,b'DarkSoil'
9,0.1619,0.1425,0.1174,0.1181,0.1249,0.1503,0.17300000000000001,0.1493,0.1833,0.0666,0.0036,0.1735,0.1227,b'DarkSoil'
10,0.1619,0.1397,0.1163,0.1158,0.1287,0.1664,0.1982,0.1582,0.2085,0.0701,0.0036,0.1826,0.1259,b'DarkSoil'
11,0.1619,0.1365,0.1151,0.1106,0.1287,0.1664,0.1982,0.1777,0.2085,0.0701,0.0036,0.1826,0.1259,b'DarkSoil'
12,0.1619,0.1365,0.1168,0.1087,0.13,0.1855,0.2186,0.2077,0.2299,0.0701,0.0036,0.1939,0.1306,b'DarkSoil'
13,0.1619,0.1362,0.1181,0.1105,0.13,0.1855,0.2186,0.2324,0.2299,0.0701,0.0036,0.1939,0.1306,b'DarkSoil'
14,0.1656,0.1359,0.1143,0.1117,0.1208,0.1336,0.1451,0.1507,0.1614,0.0463,0.0037,0.1653,0.1178,b'DarkSoil'
15,0.1656,0.1367,0.1149,0.1126,0.1208,0.1336,0.1451,0.1459,0.1614,0.0463,0.0037,0.1653,0.1178,b'DarkSoil'
16,0.1656,0.1409,0.1153,0.1188,0.1203,0.1308,0.1419,0.1412,0.1564,0.0463,0.0037,0.1557,0.1148,b'DarkSoil'
17,0.1656,0.1399,0.1165,0.1169,0.1203,0.1308,0.1419,0.1432,0.1564,0.0463,0.0037,0.1557,0.1148,b'DarkSoil'
18,0.1656,0.1404,0.1171,0.1184,0.1195,0.1317,0.1438,0.1402,0.159,0.0463,0.0037,0.158,0.1171,b'DarkSoil'
19,0.1656,0.1393,0.1139,0.1161,0.1195,0.1317,0.1438,0.1394,0.159,0.0463,0.0037,0.158,0.1171,b'DarkSoil'
20,0.1643,0.13699999999999998,0.1134,0.113,0.1239,0.1371,0.1461,0.1408,0.1672,0.0502,0.0036,0.1638,0.1187,b'DarkSoil'
21,0.1643,0.1363,0.1136,0.1129,0.1239,0.1371,0.1461,0.13699999999999998,0.1672,0.0502,0.0036,0.1638,0.1187,b'DarkSoil'
22,0.1643,0.1398,0.1146,0.1162,0.1292,0.1464,0.1604,0.1422,0.1845,0.0502,0.0036,0.1722,0.1232,b'DarkSoil'
23,0.1643,0.1345,0.115,0.12,0.1292,0.1464,0.1604,0.1569,0.1845,0.0502,0.0036,0.1722,0.1232,b'DarkSoil'
24,0.1643,0.1355,0.1183,0.1199,0.1329,0.1632,0.18600000000000003,0.1868,0.2077,0.0502,0.0036,0.1799,0.1257,b'DarkSoil'
25,0.1643,0.1369,0.122,0.1182,0.1329,0.1632,0.18600000000000003,0.2134,0.2077,0.0502,0.0036,0.1799,0.1257,b'DarkSoil'
26,0.1647,0.1393,0.1136,0.1154,0.1292,0.1543,0.1683,0.1532,0.1877,0.0592,0.004,0.1856,0.1237,b'DarkSoil'
27,0.1647,0.1364,0.1132,0.1127,0.1292,0.1543,0.1683,0.1444,0.1877,0.0592,0.004,0.1856,0.1237,b'DarkSoil'
28,0.1656,0.1357,0.1158,0.1138,0.1208,0.1336,0.1451,0.1432,0.1614,0.0463,0.0037,0.1653,0.1178,b'DarkSoil'
29,0.1656,0.1402,0.1171,0.1184,0.1208,0.1336,0.1451,0.1407,0.1614,0.0463,0.0037,0.1653,0.1178,b'DarkSoil'
30,0.1656,0.1419,0.1173,0.1197,0.1203,0.1308,0.1419,0.1405,0.1564,0.0463,0.0037,0.1557,0.1148,b'DarkSoil'
31,0.1656,0.1416,0.1145,0.1147,0.1203,0.1308,0.1419,0.1428,0.1564,0.0463,0.0037,0.1557,0.1148,b'DarkSoil'
32,0.1656,0.139,0.114,0.1124,0.1195,0.1317,0.1438,0.141,0.159,0.0463,0.0037,0.158,0.1171,b'DarkSoil'
33,0.1656,0.1388,0.1136,0.1136,0.1195,0.1317,0.1438,0.1408,0.159,0.0463,0.0037,0.158,0.1171,b'DarkSoil'
34,0.1643,0.1377,0.1137,0.1142,0.1239,0.1371,0.1461,0.1429,0.1672,0.0502,0.0036,0.1638,0.1187,b'DarkSoil'
35,0.1643,0.1361,0.1135,0.1122,0.1239,0.1371,0.1461,0.1425,0.1672,0.0502,0.0036,0.1638,0.1187,b'DarkSoil'
36,0.1643,0.1361,0.11599999999999999,0.1151,0.1292,0.1464,0.1604,0.1458,0.1845,0.0502,0.0036,0.1722,0.1232,b'DarkSoil'
37,0.1643,0.1383,0.1181,0.1161,0.1292,0.1464,0.1604,0.1464,0.1845,0.0502,0.0036,0.1722,0.1232,b'DarkSoil'
38,0.1643,0.1415,0.1178,0.1192,0.1329,0.1632,0.18600000000000003,0.1445,0.2077,0.0502,0.0036,0.1799,0.1257,b'DarkSoil'
39,0.1643,0.1385,0.1164,0.1187,0.1329,0.1632,0.18600000000000003,0.1462,0.2077,0.0502,0.0036,0.1799,0.1257,b'DarkSoil'
40,0.1648,0.1364,0.1193,0.1155,0.1319,0.171,0.1952,0.16699999999999998,0.2196,0.064,0.0037,0.1858,0.127,b'DarkSoil'
41,0.1648,0.1356,0.1199,0.1161,0.1319,0.171,0.1952,0.1795,0.2196,0.064,0.0037,0.1858,0.127,b'DarkSoil'
42,0.1647,0.1353,0.1135,0.1144,0.1221,0.1389,0.1531,0.1591,0.1716,0.0592,0.004,0.1687,0.1197,b'DarkSoil'
43,0.1647,0.1375,0.1155,0.1137,0.1221,0.1389,0.1531,0.1498,0.1716,0.0592,0.004,0.1687,0.1197,b'DarkSoil'
44,0.1647,0.1399,0.1153,0.1166,0.1208,0.1324,0.1468,0.1463,0.1606,0.0592,0.004,0.1596,0.1171,b'DarkSoil'
45,0.1647,0.139,0.1157,0.115,0.1208,0.1324,0.1468,0.1421,0.1606,0.0592,0.004,0.1596,0.1171,b'DarkSoil'
46,0.1656,0.1397,0.1153,0.1155,0.1194,0.1324,0.1446,0.142,0.1552,0.0463,0.0037,0.1567,0.1161,b'DarkSoil'
47,0.1656,0.1401,0.1154,0.1174,0.1194,0.1324,0.1446,0.14,0.1552,0.0463,0.0037,0.1567,0.1161,b'DarkSoil'
48,0.1656,0.1378,0.1143,0.1132,0.1178,0.1304,0.1429,0.1389,0.1555,0.0463,0.0037,0.1558,0.1151,b'DarkSoil'
49,0.1656,0.1398,0.1129,0.1123,0.1178,0.1304,0.1429,0.1388,0.1555,0.0463,0.0037,0.1558,0.1151,b'DarkSoil'
50,0.1656,0.1378,0.115,0.1137,0.1205,0.1334,0.1419,0.1392,0.1578,0.0463,0.0037,0.16,0.1216,b'DarkSoil'
51,0.1656,0.139,0.1152,0.1151,0.1205,0.1334,0.1419,0.1406,0.1578,0.0463,0.0037,0.16,0.1216,b'DarkSoil'
52,0.1643,0.1355,0.1138,0.1137,0.1219,0.1377,0.1451,0.1433,0.16,0.0502,0.0036,0.1618,0.1211,b'DarkSoil'
53,0.1643,0.1378,0.1156,0.1144,0.1219,0.1377,0.1451,0.1458,0.16,0.0502,0.0036,0.1618,0.1211,b'DarkSoil'
54,0.1643,0.1388,0.1178,0.1184,0.1229,0.1395,0.1441,0.1464,0.1558,0.0502,0.0036,0.16,0.1214,b'DarkSoil'
55,0.1643,0.1414,0.1176,0.1188,0.1229,0.1395,0.1441,0.1428,0.1558,0.0502,0.0036,0.16,0.1214,b'DarkSoil'
56,0.1643,0.1393,0.1172,0.1186,0.126,0.1386,0.1448,0.1367,0.1562,0.0502,0.0036,0.1624,0.1211,b'DarkSoil'
57,0.1643,0.1375,0.1149,0.1171,0.126,0.1386,0.1448,0.139,0.1562,0.0502,0.0036,0.1624,0.1211,b'DarkSoil'
58,0.1648,0.1394,0.1183,0.1213,0.127,0.1451,0.1506,0.1466,0.1669,0.064,0.0037,0.1684,0.1222,b'DarkSoil'
59,0.1648,0.1389,0.1171,0.12,0.127,0.1451,0.1506,0.1521,0.1669,0.064,0.0037,0.1684,0.1222,b'DarkSoil'
60,0.1648,0.1369,0.1172,0.1194,0.1271,0.1519,0.1652,0.1567,0.1827,0.064,0.0037,0.1849,0.131,b'DarkSoil'
61,0.1648,0.1404,0.11900000000000001,0.1188,0.1271,0.1519,0.1652,0.1724,0.1827,0.064,0.0037,0.1849,0.131,b'DarkSoil'
62,0.1647,0.1388,0.1137,0.1136,0.134,0.1685,0.1852,0.1525,0.2155,0.0592,0.004,0.1913,0.1269,b'DarkSoil'
