name of the station;ID-number of the station;ETRS-coordinates east;ETRS-coordinates north;max depth of the station;date;sampling depth;Faecal enterococci (kpl/100ml);Oxygen saturation (kyll.%);Dissolved oxygen (mg/l);Suspended solids, coarse (mg/l);Chlorophyll a (µg/l);Total phosphorous, unfiltered (µg/l);Total nitrogen, unfiltered (µg/l);Coliform bacteria thermotolerant (kpl/100ml);Temperature (°C);Nitrate as nitrogen, unfiltered (µg/l);Nitrate as nitrogen, unfiltered (µg/l);Nitrite nitrate as nitrogen, unfiltered (µg/l);Secchi depth (m);pH  ;Salinity (‰);Turbidity (FNU);Conductivity (mS/m)
Et kaup selkä 1;5520;227911;7005357;2.4;19.3.1974 0:00;;;;;;;;;;;;;;0.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;19.3.1974 0:00;1,0;0;56;7.9;;;14;4100;0;0.3;;;;;4.6;;8.1;231
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.1974 0:00;;;;;;;;;;;;;;1.1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.1974 0:00;1,0;0;104;10.3;;;20;410;0;14.5;;;;;8.1;;;627
Et kaup selkä 1;5520;227911;7005357;2.4;21.10.1974 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;21.10.1974 0:00;1,0;3;93;12.2;;;20;1200;79;2.9;;;;;7.2;;;594
Et kaup selkä 1;5520;227911;7005357;2.4;4.6.1975 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.6.1975 0:00;1,0;2;102;11;;;40;560;17;10.5;;;;;6.7;;7.8;390
Et kaup selkä 1;5520;227911;7005357;2.4;11.8.1975 0:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.8.1975 0:00;1,0;1;99;8.7;;;20;310;2;20.1;;;;;7.8;;1.8;750
Et kaup selkä 1;5520;227911;7005357;2.4;11.8.1975 12:00;0,0-2,0;;;;;;;;;19.6;;;;;7.8;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.11.1975 0:00;;;;;;;;;;;;;;0.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.11.1975 0:00;1,0;4;98;13.3;;;40;590;7;1.4;;;;;7.6;;9.8;770
Et kaup selkä 1;5520;227911;7005357;2.4;17.3.1976 0:00;1,0;0;35;5;;;5;1600;2;0;;;;;6.3;;1;610
Et kaup selkä 1;5520;227911;7005357;2.4;1.6.1976 0:00;;;;;;;;;;;;;;1.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;1.6.1976 0:00;1,0;2;105;10.4;;;30;660;2;14.2;;;;;7.4;;3.3;540
Et kaup selkä 1;5520;227911;7005357;2.4;11.8.1976 0:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.8.1976 0:00;1,0;0;102;9.1;;;16;420;2;19.5;;;;;7.9;;1.4;810
Et kaup selkä 1;5520;227911;7005357;2.4;26.10.1976 0:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.10.1976 0:00;1,0;31;94;12.7;;;20;330;130;1.8;;;;;7.5;;1.7;750
Et kaup selkä 1;5520;227911;7005357;2.4;28.3.1977 0:00;;;;;;;;;;;;;;2.1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;28.3.1977 0:00;1,0;;49;6.8;;;9;4100;;1.6;;;;;5.6;;16;310
Et kaup selkä 1;5520;227911;7005357;2.4;7.6.1977 0:00;;;;;;;;;;;;;;0.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.6.1977 0:00;1,0;0;92;9.6;;;37;1600;13;12.1;;;;;5.9;;19;460
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.1977 0:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.1977 0:00;1,0;4;101;9.3;;;10;390;14;17.7;;;;;7.6;;2;540
Et kaup selkä 1;5520;227911;7005357;2.4;18.10.1977 0:00;;;;;;;;;;;;;;1.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;18.10.1977 0:00;1,0;0;96;12.1;;;9;780;5;4.3;;;;;;;5.8;490
Et kaup selkä 1;5520;227911;7005357;2.4;6.6.1978 0:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.6.1978 0:00;1,0;0;103;9.4;;;19;650;2;18.3;;;;;7.1;;1.7;420
Et kaup selkä 1;5520;227911;7005357;2.4;7.6.1978 0:00;0,0-1,0;;;;;4.6;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.6.1978 0:00;1,0;;81;7.3;;;21;730;;19.3;;;;;5.2;1.74;2.6;350
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.1978 0:00;;;;;;;;;;;;;;1.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.1978 0:00;1,0;1;106;10;;;14;370;11;16.8;;;;;8.2;;0.86;720
Et kaup selkä 1;5520;227911;7005357;2.4;25.10.1978 0:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;25.10.1978 0:00;1,0;4;94;12.4;;;18;470;33;2.7;;;;;7.7;;2.8;760
Et kaup selkä 1;5520;227911;7005357;2.4;11.4.1979 11:00;0,5;;70;9.8;;;;;;0.3;;;;;5.7;;;42
Et kaup selkä 1;5520;227911;7005357;2.4;11.4.1979 11:00;1,3;;65;9.1;;;;;;0.5;;;;;5.9;;5.2;150
Et kaup selkä 1;5520;227911;7005357;2.4;7.6.1979 12:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.6.1979 12:00;0,0-1,0;;;;;1.3;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.6.1979 12:00;1,0;0;106;9.9;;;;;;17.5;;;;;7.2;;3.1;500
Et kaup selkä 1;5520;227911;7005357;2.4;24.7.1979 10:00;;;;;;;;;;;;;;2.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;24.7.1979 10:00;0,0-2,0;;;;;0.8;;;;;;;;;7.3;;;
Et kaup selkä 1;5520;227911;7005357;2.4;24.7.1979 10:00;1,0;0;102;9.2;;;;;1;19.1;;;;;6.6;;3.2;510
Et kaup selkä 1;5520;227911;7005357;2.4;28.8.1979 12:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;28.8.1979 12:00;0,0-2,0;;;;;2.5;;;;;;;;;7.4;;;
Et kaup selkä 1;5520;227911;7005357;2.4;28.8.1979 12:00;1,0;0;99;9.8;;;;;28;15.8;;;;;7.2;;2.2;540
Et kaup selkä 1;5520;227911;7005357;2.4;9.10.1979 11:00;;;;;;;;;;;;;;2.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.10.1979 11:00;1,0;0;100;12.4;;;17;;2;5;;;;;6;;4.2;480
Et kaup selkä 1;5520;227911;7005357;2.4;22.1.1980 0:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;22.1.1980 0:00;0,5;;74;10.7;;;;;;0.3;;;;;;;;142
Et kaup selkä 1;5520;227911;7005357;2.4;22.1.1980 0:00;1,0;;76;10.8;;;12;1000;;1;;;;;6.8;;2;835
Et kaup selkä 1;5520;227911;7005357;2.4;25.3.1980 0:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;25.3.1980 0:00;0,7;;;;;;;;;0.7;;;;;;;;775
Et kaup selkä 1;5520;227911;7005357;2.4;25.3.1980 0:00;1,1;;52;7.4;;;218;2300;;0.7;;;;;6.4;;1.8;720
Et kaup selkä 1;5520;227911;7005357;2.4;7.5.1980 0:00;0,0-2,0;;;;;;56;;;;;;;;;;33;
Et kaup selkä 1;5520;227911;7005357;2.4;7.5.1980 0:00;1,0;;97;11.4;;;;;;8.3;;;;;6.7;;33;370
Et kaup selkä 1;5520;227911;7005357;2.4;14.5.1980 0:00;0,0-2,0;;;;;;14;;;;;;;;;;6.2;
Et kaup selkä 1;5520;227911;7005357;2.4;14.5.1980 0:00;1,0;;102;11.7;;;;;;9.2;;;;;5.6;;6.7;300
Et kaup selkä 1;5520;227911;7005357;2.4;4.6.1980 8:00;0,0-2,0;;;;;1.7;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.6.1980 8:00;1,0;0;107;10.2;;;8;920;1;17.7;;;;;7.7;;1.6;520
Et kaup selkä 1;5520;227911;7005357;2.4;16.7.1980 8:00;0,0-1,5;;;;;3;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;16.7.1980 8:00;1,0;40;98;9.1;;;32;500;40;18.8;;;;;7.7;;1.3;670
Et kaup selkä 1;5520;227911;7005357;2.4;20.8.1980 8:00;0,0-2,0;;;;;10;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.8.1980 8:00;1,0;;96;9.4;;;23;580;;16.2;;;;;7.9;;1.7;532
Et kaup selkä 1;5520;227911;7005357;2.4;1.10.1980 13:00;;;;;;;;;;;;;;0.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;1.10.1980 13:00;0,0-2,0;;;;;;25;;;;;;;;;;5.8;
Et kaup selkä 1;5520;227911;7005357;2.4;1.10.1980 13:00;1,0;;95;10.7;;;;;;10.2;;;;;7.7;;5.8;700
Et kaup selkä 1;5520;227911;7005357;2.4;7.10.1980 10:00;;;;;;;;;;;;;;0.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.10.1980 10:00;1,0;8;93;11.1;;;60;660;105;7.7;;;;;7.3;;13;739
Et kaup selkä 1;5520;227911;7005357;2.4;8.10.1980 12:00;;;;;;;;;;;;;;0.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.10.1980 12:00;0,0-2,0;;;;;;85;;;;;;;;;;17;
Et kaup selkä 1;5520;227911;7005357;2.4;8.10.1980 12:00;1,0;;90;10.6;;;;;;8.2;;;;;7.6;;18;798
Et kaup selkä 1;5520;227911;7005357;2.4;22.10.1980 9:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;22.10.1980 9:00;0,0-2,0;;;;;;19;;;;;;;;;;5.6;
Et kaup selkä 1;5520;227911;7005357;2.4;22.10.1980 9:00;1,0;;90;11.8;;;;;;4.2;;;;;6.7;;5.9;433
Et kaup selkä 1;5520;227911;7005357;2.4;21.1.1981 10:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;21.1.1981 10:00;1,0;;49;7.2;;;11;2500;;-0.1;;;;;5.7;;1.1;430
Et kaup selkä 1;5520;227911;7005357;2.4;21.1.1981 10:00;1,5;;56;8.2;;;;;;0.3;;;;;;;;683
Et kaup selkä 1;5520;227911;7005357;2.4;25.3.1981 10:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;25.3.1981 10:00;1,0;;49;7.2;;;11;3700;;0;;;;;5.7;;1.7;418
Et kaup selkä 1;5520;227911;7005357;2.4;14.5.1981 9:00;;;;;;;;;;;;;;0.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;14.5.1981 9:00;0,0-1,8;;;;;;62;;;;;;;;;;17;
